Name,Color,Image,RGB,Undertone
Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4gRed Cider 28.jpg,"[[190.61216666666667, 40.27783333333334, 45.52316666666667]]",Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4g-Red Cider 28.jpg,"[190.61216666666667, 40.27783333333334, 45.52316666666667]",warm
Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4gBuff Nude 05.jpg,"[[138.0, 68.0, 68.0]]",Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4g-Buff Nude 05.jpg,"[138.0, 68.0, 68.0]",cool
Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4gFlamboyant Plum.jpg,"[[106.09966666666666, 27.142333333333344, 33.14233333333335]]",Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4g-Flamboyant Plum.jpg,"[106.09966666666666, 27.142333333333344, 33.14233333333335]",warm
Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4gPretty Sepia 08.jpg,"[[136.0, 65.0, 63.0]]",Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4g-Pretty Sepia 08.jpg,"[136.0, 65.0, 63.0]",warm
Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4gBlooming Red 22.jpg,"[[169.72433333333333, 45.33316666666666, 47.37516666666666]]",Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4g-Blooming Red 22.jpg,"[169.72433333333333, 45.33316666666666, 47.37516666666666]",warm
Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4gPeach Candy.jpg,"[[150.0, 49.0, 57.0]]",Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4g-Peach Candy.jpg,"[150.0, 49.0, 57.0]",warm
Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4gFuschia Wave 02.jpg,"[[181.0, 64.0, 83.0]]",Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4g-Fuschia Wave 02.jpg,"[181.0, 64.0, 83.0]",warm
Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4gPink Sugar.jpg,"[[172.0, 36.0, 56.0]]",Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4g-Pink Sugar.jpg,"[172.0, 36.0, 56.0]",warm
Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4gChilli Pepper 11.jpg,"[[170.0, 52.0, 42.0]]",Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4g-Chilli Pepper 11.jpg,"[170.0, 52.0, 42.0]",warm
Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4gBrown Ashes 25.jpg,"[[124.54933333333334, 58.92266666666667, 62.92266666666667]]",Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4g-Brown Ashes 25.jpg,"[124.54933333333334, 58.92266666666667, 62.92266666666667]",warm
Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4gKissed Ruby 13.jpg,"[[140.0, 47.0, 42.0]]",Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4g-Kissed Ruby 13.jpg,"[140.0, 47.0, 42.0]",warm
Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4gRoyal Maroon 16.jpg,"[[108.59366666666668, 23.52466666666667, 21.628333333333337]]",Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4g-Royal Maroon 16.jpg,"[108.59366666666668, 23.52466666666667, 21.628333333333337]",warm
Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4gRouge Matte 30.jpg,"[[104.0, 41.0, 36.0]]",Faces Canada Weightless Matte Hydrating Lipstick with Almond Oil Buff Nude 4g-Rouge Matte 30.jpg,"[104.0, 41.0, 36.0]",warm
New York Super Stay Matte Ink Liquid Lipstick 130 Self Starter,"[[200.0, 59.0, 101.0]]",New York Super Stay Matte Ink Liquid Lipstick -130 Self Starter-INSPIRER.jpg,"[200.0, 59.0, 101.0]",warm
