Name,Price,Brand
SPF 15 Sheer and Perfect Compact Foundation R020,Rs. 2150,SHISEIDO
Tawny Double Wear Stay-in-Place Makeup with SPF 10,Rs. 3700,Estee Lauder
Milano Natural Newskin Wet & Dry Compact Foundation 02,Rs. 1050,Deborah
Ultra Definition Liquid Foundation - Chocolate Mousse,Rs. 825,Daily Life Forever52
Weightless Matte Finish Mini Foundation Ivory 01 18ml,Rs. 169,FACES CANADA
Beige Spotlight Glow Stick 14 g,Rs. 1249,Daily Life Forever52
Spotlight Glow Stick 14 g,Rs. 1249,Daily Life Forever52
Beige Spotlight Glow Foundation Stick 14 g,Rs. 1249,Daily Life Forever52
Ultra Definition Liquid Foundation- Honey 30 ml,Rs. 825,Daily Life Forever52
Ultra Definition Liquid Foundation - Cheesecake 30 ml,Rs. 825,Daily Life Forever52
Ultra Definition Liquid Foundation-Milk Cake 30 ml,Rs. 825,Daily Life Forever52
Ultra Definition Liquid Foundation- Sundae 30 ml,Rs. 825,Daily Life Forever52
Ultra Definition Liquid Foundation- Pecan 30 ml,Rs. 825,Daily Life Forever52
Ultra Definition Liquid Foundation - Fudge,Rs. 825,Daily Life Forever52
Beige Ultra Definition Liquid Foundation- Peanut Butter 30 ml,Rs. 825,Daily Life Forever52
Beige Ultra Definition Liquid Foundation-Pralines Cake 30 ml,Rs. 825,Daily Life Forever52
Ultra Definition Liquid Foundation - Beige Caramel 30 ml,Rs. 825,Daily Life Forever52
Ultra Definition Liquid Foundation-Brownie 30 ml,Rs. 825,Daily Life Forever52
