Name,Price,Brand
Studio Fix SPF 15 Fluid Foundation - NC35 30ml,Rs. 2950,M.A.C
Ultime Pro Second Skin Foundation Natural 02 30ml,Rs. 1199,FACES CANADA
Cosmetics Ace Of Face Foundation Stick 42 Glace 12 g,Rs. 999,SUGAR
Double Wear Stay-In-Place Makeup with SPF 10 - Rattan 2W2 15ml,Rs. 1800,Estee Lauder
Hello Happy Air Stick Foundation - Light Neutral 03,Rs. 3400,Benefit Cosmetics
Studio Fix Powder Plus Foundation - NC42 15g,Rs. 2950,M.A.C
Makeup Revolution Fast Base Stick Foundation - F8 6.2g,Rs. 552,Makeup Revolution London
Ultime Pro Hd Runway Ready Foundation Olive Beige 05 30 ml,Rs. 1199,FACES CANADA
9To5 Primer & Matte Perfect Cover Foundation - Warm Caramel W320 25 ml,Rs. 403,Lakme
Hello Happy Air Stick Foundation - Light Warm 2,Rs. 3400,Benefit Cosmetics
Ace Of Face Foundation Stick 37 Freddo 12 g,Rs. 999,SUGAR
Paris Beige Infallible 24H Fresh Wear Foundation - Radiant Beige 150 30 ml,Rs. 1200,LOreal
Double Wear Stay-In-Place SPF 10 Makeup Liquid Foundation - Tawny 3W1 15 ml,Rs. 1850,Estee Lauder
Studio Fix SPF 15 Fluid Foundation - NC40 30ml,Rs. 2950,M.A.C
Hello Happy Velvet Powder Foundation - 05,Rs. 3100,Benefit Cosmetics
Rage For Coverage Light Warm Undertone 24Hr Foundation 10 Latte 25ml,Rs. 799,SUGAR
Aquafeel Pro Foundation - Apple Crunch 05 30 ml,Rs. 495,Colorbar
Ace of Face Foundation Stick - 15 Cappuccino - Light - Cool Undertone,Rs. 999,SUGAR
L'Oreal Paris Infallible 24H Fresh Wear Foundation - Radiant Sand 250 30ml,Rs. 1020,LOreal
Studio Fix SPF15 Fluid Foundation - NC42 30ml,Rs. 2950,M.A.C
HD Liquid Foundation - 2.3 30ml,Rs. 875,PAC
Paris True Match Super Blendable Liquid Foundation - Honey N6 30 ml,Rs. 719,LOreal
Fast Base Stick Foundation - F10 6.2g,Rs. 552,Makeup Revolution London
9To5 Primer And Matte Perfect Cover Foundation - Cool Tan C280 25 ml,Rs. 403,Lakme
Paris Infallible 24H Matte Cover Foundation - 104 Golden Beige,Rs. 525,LOreal
9To5 Primer And Matte Perfect Cover Foundation - Cool Cinnamon C300 25 ml,Rs. 403,Lakme
Paris True Match Liquid Foundation - Caramel Dore 6.5D6.5W 30ml,Rs. 737,LOreal
Conceal & Define Full Coverage Foundation - F10.5 23 ml,Rs. 942,Makeup Revolution London
Paris True Match Super Blendable Liquid Foundation - Golden Sand D5W5 30 ml,Rs. 719,LOreal
9To5 Primer & Matte Perfect Cover Foundation - Neutral Honey N260 25 ml,Rs. 403,Lakme
Rage For Coverage Medium Golden Undertone 24Hr Foundation 32 Cortado 25ml,Rs. 799,SUGAR
Studio Fix Fluid Broad Spectrum Foundation with SPF 15 - NC12 30 ml,Rs. 2900,M.A.C
Paris True Match Super-Blendable Liquid Foundation - Rose Beige R3C3K3 30 ml,Rs. 764,LOreal
Mini Skin Long Wear Weightless Foundation - Warm Natural 13ml,Rs. 1990,Bobbi Brown
Rage For Coverage Medium Beige Golden Peach Undertone 24Hr Foundation 37 Freddo 25ml,Rs. 799,SUGAR
Double Wear Stay-in-Place Makeup Foundation with SPF 10 - Warm Porcelain 30ml,Rs. 3600,Estee Lauder
Mini Skin Long Wear Weightless Foundation - Honey,Rs. 1990,Bobbi Brown
Amino Skin Radiant Foundation - Beige Mild 15g,Rs. 1020,Colorbar
Studio Fix SPF 15 Fluid Foundation - NC30 30ml,Rs. 2950,M.A.C
Ace Of Face Foundation Stick 25 Macchiato 12 g,Rs. 999,SUGAR
Conceal & Define Foundation - F8.5 23ml,Rs. 913,Makeup Revolution London
Even Better Makeup Broad Spectrum with SPF 15 - CN Ivory 30ml,Rs. 2900,Clinique
Cosmetics Ace Of Face Foundation Stick 52 Corretto 12 g,Rs. 999,SUGAR
3.1 HD Liquid Foundation 30 ml,Rs. 831,PAC
Mini Skin Long Wear Weightless Foundation - Natural,Rs. 1990,Bobbi Brown
Conceal & Define Full Coverage Foundation - F7 23 ml,Rs. 942,Makeup Revolution London
Enriched Revitalising Makeup Foundation - Honey No. 301,Rs. 1295,Chambor
Touch & Glow Moisturizing Liquid Make Up - Ivory Mist,Rs. 282,Revlon
Paris True Match Super Blendable Liquid Foundation - Rose Vanilla 2R2C2K 30 ml,Rs. 764,LOreal
Ultime Pro Matte Mousse Foundation Beige 03 30gm,Rs. 699,FACES CANADA
Women Beige 24Hrs Weightless Liquid Foundation-FW 3.3 25 ml,Rs. 845,Colorbar
Women 3.0 HD Liquid Foundation 30 ml,Rs. 875,PAC
Double Wear Stay-in-Place Makeup SPF 10 Foundation - Honey Bronze 30 ml,Rs. 3600,Estee Lauder
Paris True Match Super Blendable Liquid Foundation - Golden Amber D7W7 30ml,Rs. 719,LOreal
Rage For Coverage Light Medium Warm Undertone 24Hr Foundation 27 Vienna 25 ml,Rs. 799,SUGAR
Mini Skin Long Wear Weightless Foundation SPF 15 - Natural Tan,Rs. 1990,Bobbi Brown
Rage For Coverage Light Golden Undertone 24Hr Foundation 17 Raf 25ml,Rs. 799,SUGAR
Women 1.5 HD Liquid Foundation 30 ml,Rs. 743,PAC
Cashew No.101 Brightening Smoothening Foundation Wet & Dry 15 g,Rs. 1295,Chambor
Sustainable Photo Focus Stick Foundation - Cream Beige 12g,Rs. 422,Wet n Wild
Absolute 3D Cover SPF 30 Foundation- Cool Cinnamon C300,Rs. 637,Lakme
Women Beige 24Hrs Weightless Liquid Foundation-FW 2.1 25 ml,Rs. 845,Colorbar
Ultime Pro Sun Defense CC Cream Luxe SPF 50 Natural 02 30ml,Rs. 799,FACES CANADA
Ultime Pro Hd Runway Ready Foundation Sand 04 30ml,Rs. 1199,FACES CANADA
Paris True Match Super Blendable Liquid Foundation - Golden Cappuccino D8W8 30 ml,Rs. 764,LOreal
Beige 24Hrs Weightless Liquid Foundation FW 2.3 25 ml,Rs. 845,Colorbar
Absolute 3D Cover Foundation - Neutral Medium 15 ml,Rs. 637,Lakme
Rage For Coverage Light Cool Undertone 24Hr Foundation 15 Cappuccino 25 ml,Rs. 799,SUGAR
Detox And Protect Foundation 03- Medium Beige 35 ml,Rs. 1039,Note
Double Wear Stay-In-Place Liquid Foundation SPF 10 - Toasty Toffee 4W2 30ml,Rs. 3600,Estee Lauder
Paris Infallible 24H Matte Cover Liquid Foundation-255 Natural Sand,Rs. 639,LOreal
Paris True Match Liquid Foundation - N4 Beige 30ml,Rs. 764,LOreal
Soft Touch Mousse Make-Up - 02 Matt Beige,Rs. 409,essence
Double Wear Stay-in-Place Makeup SPF 10 Foundation - Bone 30 ml,Rs. 3700,Estee Lauder
Double Wear Stay-In-Place Matte Powder Foundation - Buff 2N2 12g,Rs. 3700,Estee Lauder
Double Wear Stay-in-Place Makeup Foundation with SPF 10 - Ivory Nude 30ml,Rs. 3700,Estee Lauder
Rage For Coverage Light Medium Golden Undertone 24Hr Foundation 20 Galao 25ml,Rs. 799,SUGAR
Ivory Beige Double Wear Stay-in-Place Makeup with SPF 10,Rs. 3600,Estee Lauder
Beige 102 Brightening Wet & Dry Smoothening Foundation 15 g,Rs. 1295,Chambor
Studio Fix Fluid Broad Spectrum Foundation with SPF 15 - NW35 30 ml,Rs. 2900,M.A.C
24Hrs Weightless Liquid Foundation,Rs. 845,Colorbar
Studio Fix Fluid Broad Spectrum Foundation with SPF 15 - NC18 30ml,Rs. 2950,M.A.C
Prime Perfect Foundation Beige 03 30ml,Rs. 636,FACES CANADA
Apple Crunch Aqua Feel Pro Foundation,Rs. 550,Colorbar
"HD Perfect Coverup Foundation 75, (35ml)",Rs. 2392,INGLOT
Medium Beige Mattifying Extreme Wear SPF 15 Foundation 03,Rs. 1299,Note
Full Coverage 2-in-1 Foundation & Concealer WB30 25 ml,Rs. 2300,KIKO MILANO
Soft Sand Stay All Day 16h Long Lasting Make-Up Foundation 30,Rs. 475,essence
Extreme Matte Long-Wear Foundation IVORY LIGHT #1011,Rs. 795,Chambor
Conceal & Define Foundation - F12.2 23 ml,Rs. 942,Makeup Revolution London
Essence Stay All Day 16H Long-Lasting Make-Up 15,Rs. 427,essence
2 Absolute Cover Silk Peptide Foundation 30ml,Rs. 2362,OFRA
Unisex Perfect Canvas Hydra Lock Nude Airbrush Foundation 4W,Rs. 855,TEMPTU
Colorstay Make Up Combination Oily SPF 15 - Natural Tan,Rs. 963,Revlon
Rage For Coverage Medium Tan Neutral Undertone 24Hr Foundation 48 Irish 25ml,Rs. 799,SUGAR
Weightless Matte Finish Foundation Sand 04 18ml,Rs. 359,FACES CANADA
Absolute 3D Cover Foundation SPF 30 - Neutral Honey 15 ml,Rs. 637,Lakme
Double Wear Stay-in-place SPF 10 Makeup Foundation - Spiced Sand 4N2 15 ml,Rs. 1850,Estee Lauder
Ultime Pro Sun Defense CC Cream Luxe SPF 50 Ivory 01 30ml,Rs. 799,FACES CANADA
Rage For Coverage Medium Beige Warm Undertone 24Hr Foundation 40 Breve 25ml,Rs. 799,SUGAR
New York Fit Me SPF 32 Two Way Cake Powder Foundation - Sun Beige 310 9g,Rs. 420,Maybelline
Touch & Glow Moisturizing Liquid Make Up - Natural Mist,Rs. 265,Revlon
The Body Shop Fresh Nude Sustainable Foundation - Atlas Dunes 045 30 ml,Rs. 1895,THE BODY SHOP
True Match Foundation - Cocoa 10N 30 ml,Rs. 629,LOreal
10 Soft Beige Stay All Day 16h Waterproof Foundation 30ml,Rs. 427,essence
Women Better Skin Foundation 06 30 ml,Rs. 295,INCOLOR
Everyday Foundation - BE-01 SOFT BEIGE 30 ml,Rs. 325,Miss Claire
Rage For Coverage Medium Deep Warm Undertone 24Hr Foundation 55 Americano 25ml,Rs. 799,SUGAR
24Hrs Weightless Liquid Foundation - FW 1.4 25ml,Rs. 845,Colorbar
Beige 24Hrs Weightless Liquid Foundation FW 5.3 25 ml,Rs. 845,Colorbar
Rage For Coverage Medium Beige Golden Undertone 24Hr Foundation 42 Glace 25ml,Rs. 799,SUGAR
Everyday Foundation Buff BE-04,Rs. 308,Miss Claire
Ultime Pro Matte Mousse Foundation Sand 04 30g,Rs. 699,FACES CANADA
Rage For Coverage Tan Yellow Undertone 24Hr Foundation 52 Corretto 25ml,Rs. 799,SUGAR
Beige 24Hrs Weightless Liquid Foundation FW 8.1 25 ml,Rs. 845,Colorbar
24Hrs Weightless Liquid Foundation-FW 2.4 25ml,Rs. 845,Colorbar
Women Beige 24Hrs Weightless Liquid Foundation-FW 5.1 25 ml,Rs. 845,Colorbar
24Hrs Weightless Liquid Foundation-FC 6.2 25ml,Rs. 845,Colorbar
Primer + Foundation - Beige Vanilla - 15 ml each,Rs. 584,SWISS BEAUTY
Fresh & Fit Awake Make Up 20 - Fresh Nude,Rs. 526,essence
201 Classic Beige Lasting Radiance Medium Coverage Foundation 30 ml,Rs. 877,RIMMEL
Women Better Skin Foundation 01 30 ml,Rs. 295,INCOLOR
Everyday Foundation Neutral Buff MT-02,Rs. 308,Miss Claire
Shell Double Wear Stay-in-Place Makeup SPF 10 Foundation 30 ml,Rs. 3700,Estee Lauder
Double Wear Stay-In-Place Foundation with SPF 10 - Cashew 30ml,Rs. 3600,Estee Lauder
Studio Fix SPF 15 Fluid Foundation - NC45 30ml,Rs. 2950,M.A.C
Double Wear Stay-In-Place Makeup Foundation with SPF 10 - Porcelain 1N0,Rs. 3700,Estee Lauder
Dual Walnut 103 Brightening Smoothening Foundation Wet & Dry 15g,Rs. 1295,Chambor
Luminous Foundation-200W,Rs. 4275,ANASTASIA BEVERLY HILLS
Even Better Glow Liquid Foundation Makeup with SPF 15 - Oat WN 48 30ml,Rs. 2900,Clinique
Women Neutral 3 Synchro Skin Glow Luminizing Fluid Foundation 30ml,Rs. 3800,SHISEIDO
Skin Long Wear Fluid SPF 20 Foundation - Cool Natural 40 ml,Rs. 3600,Bobbi Brown
Skin Long Wear Fluid SPF 20 Foundation - W054 Natural Tan 40 ml,Rs. 3600,Bobbi Brown
Skin Long Wear Fluid SPF 20 Foundation - W046 Warm Beige 40 ml,Rs. 3600,Bobbi Brown
Luminous Foundation - 240N 30 ml,Rs. 4275,ANASTASIA BEVERLY HILLS
Luminous Foundation - 300C,Rs. 4275,ANASTASIA BEVERLY HILLS
Skin Foundation Stick- Honey 5 - 9 g,Rs. 4250,Bobbi Brown
Double Wear Stay-in-Place Foundation With SPF 10,Rs. 3700,Estee Lauder
Rage For Coverage Medium Neutral Undertone 24Hr Foundation 35 Frappe 25ml,Rs. 799,SUGAR
Women Flawless Finish SPF 20 No.4 Sunscreen Foundation,Rs. 3550,Elizabeth Arden
Studio Fix Fluid Foundation with SPF 15 - NC47 30ml,Rs. 2900,M.A.C
Conceal & Define Foundation - F9 23ml,Rs. 942,Makeup Revolution London
"HD Perfect Coverup Foundation 81, (35ml)",Rs. 2392,INGLOT
4 Absolute Cover Silk Peptide Foundation 30ml,Rs. 2362,OFRA
Soft Sable Pro Matte HD Foundation GLM721,Rs. 937,L.A Girl
Colorstay Make Up Normal To Dry SPF 20 - Toast,Rs. 1040,Revlon
Syncro SPF 35 Skin Self Refreshing Foundation 230 Alder 30 ml,Rs. 4100,SHISEIDO
Paris Infaillible 24H Fresh Wear Foundation - Golden Sun 260 30ml,Rs. 1020,LOreal
Flawless Finish Daily Wear Lightweight Foundation - Natural Beige 03,Rs. 195,SWISS BEAUTY
Colorstay Make Up Combination Oily SPF 15 - Toast,Rs. 1002,Revlon
Studio Fix Soft Matte Foundation Stick - NC60 9g,Rs. 2900,M.A.C
SPF 15 Unlimited Foundation N145,Rs. 1445,KIKO MILANO
Deep Tan Pro Matte HD Foundation GLM719,Rs. 937,L.A Girl
GLM684 Cappuccino HD PRO.Matte Foundation 30ml,Rs. 937,L.A Girl
Weightless Perfection SPF 30 Wet and Dry Powder Foundation N95,Rs. 1402,KIKO MILANO
London 504 Mocha SPF 25 Lasting Radiance Anti-Pollution Foundation,Rs. 877,RIMMEL
Sand Mattifying Extreme Wear SPF 15 Foundation 04,Rs. 1299,Note
Milano True Beige Newskin Wet & Dry Compact Foundation 03,Rs. 1050,Deborah
L.A. Colors Light Tan Radiant Liquid Makeup Foundation 28.5 ml,Rs. 382,L.A colors
Conceal & Define Full Coverage Foundation - F14 23 ml,Rs. 942,Makeup Revolution London
Creamy Cocoa Pro Matte HD Foundation GLM720,Rs. 937,L.A Girl
London Lasting Radiance Natural Beige SPF 25 Anti-Pollution Foundation 400,Rs. 877,RIMMEL
Women Insta Perfect Liquid Make Up - 60,Rs. 427,essence
Flawless Finish Daily Wear Lightweight Foundation - Medium N06,Rs. 189,SWISS BEAUTY
Women Beige 24Hrs Weightless Liquid Foundation-FW 5.2 25 ml,Rs. 845,Colorbar
24Hrs Weightless Liquid Foundation - FW 6.4 25ml,Rs. 845,Colorbar
Women Better Skin Foundation 03 30 ml,Rs. 295,INCOLOR
Nourishing Perfection SPF 20 Cream Compact Foundation N80,Rs. 1305,KIKO MILANO
Nourishing Perfection SPF 20 Cream Compact Foundation N 130,Rs. 1305,KIKO MILANO
24Hrs Weightless Liquid Foundation-FC 6.1 25ml,Rs. 845,Colorbar
24Hrs Weightless Liquid Foundation FC 7.1 25 ml,Rs. 845,Colorbar
Beige 24Hrs Weightless Liquid Foundation FW 5.4 25 ml,Rs. 845,Colorbar
Ultime Pro Sun Defense CC Cream Luxe SPF 50 Sand 03 30ml,Rs. 799,FACES CANADA
Extreme Matte Long Wear Foundation Ocher Deep 3034 30ml,Rs. 795,Chambor
Extreme Matte Long-Wear Foundation Ocher Medium #3023 30 ml,Rs. 795,Chambor
Primer + Foundation - Bronzed Glow - 15 ml each,Rs. 629,SWISS BEAUTY
Milano Light Rose SPF 15 Perfect & Natural Foundation 02,Rs. 626,Deborah
Fresh & Fit Awake Make Up 10 - Fresh Ivory,Rs. 526,essence
Fresh & Fit Awake Make Up 30 Foundation,Rs. 526,essence
Women Insta Perfect Liquid Make Up - 30,Rs. 427,essence
