,Name,Image,Shade,Color
0,New York Fit Me Matte+Poreless Liquid Foundation  128 Warm Nude 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 128 Warm Nude 30ml-115 Ivory.jpg,115 Ivory,"[[249.0, 212.0, 190.0]]"
1,New York Fit Me Matte+Poreless Liquid Foundation  128 Warm Nude 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 128 Warm Nude 30ml-Classic Ivory.jpg,Classic Ivory,"[[252.0, 208.0, 178.0]]"
2,New York Fit Me Matte+Poreless Liquid Foundation  128 Warm Nude 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 128 Warm Nude 30ml-Natural Tan.jpg,Natural Tan,"[[245.0, 180.0, 152.0]]"
3,New York Fit Me Matte+Poreless Liquid Foundation  128 Warm Nude 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 128 Warm Nude 30ml-Warm Nude 128.jpg,Warm Nude 128,"[[250.0, 207.0, 175.0]]"
4,New York Fit Me Matte+Poreless Liquid Foundation  128 Warm Nude 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 128 Warm Nude 30ml-Natural Beige.jpg,Natural Beige,"[[252.41666666666669, 186.53947368421052, 149.12280701754386]]"
5,Perfecting Liquid Foundation  Natural Marble 27ml,Perfecting Liquid Foundation - Natural Marble 27ml-Natural Coral.jpg,Natural Coral,"[[242.0, 197.0, 152.0]]"
6,Perfecting Liquid Foundation  Natural Marble 27ml,Perfecting Liquid Foundation - Natural Marble 27ml-Natural Shell.jpg,Natural Shell,"[[238.21708185053382, 185.28113879003558, 126.31672597864768]]"
7,Perfecting Liquid Foundation  Natural Marble 27ml,Perfecting Liquid Foundation - Natural Marble 27ml-Natural Marble.jpg,Natural Marble,"[[243.08839779005524, 202.4696132596685, 156.08839779005524]]"
8,Perfecting Liquid Foundation  Natural Marble 27ml,Perfecting Liquid Foundation - Natural Marble 27ml-Natural Pearl.jpg,Natural Pearl,"[[201.0, 148.0, 102.5]]"
9,New York Fit Me! Matte+Poreless Liquid Foundation  Natural Beige 220 30ml,New York Fit Me! Matte+Poreless Liquid Foundation - Natural Beige 220 30ml-115 Ivory.jpg,115 Ivory,"[[249.0, 212.0, 190.0]]"
10,New York Fit Me! Matte+Poreless Liquid Foundation  Natural Beige 220 30ml,New York Fit Me! Matte+Poreless Liquid Foundation - Natural Beige 220 30ml-Classic Ivory.jpg,Classic Ivory,"[[252.0, 208.0, 178.0]]"
11,New York Fit Me! Matte+Poreless Liquid Foundation  Natural Beige 220 30ml,New York Fit Me! Matte+Poreless Liquid Foundation - Natural Beige 220 30ml-Natural Tan.jpg,Natural Tan,"[[245.0, 180.0, 152.0]]"
12,New York Fit Me! Matte+Poreless Liquid Foundation  Natural Beige 220 30ml,New York Fit Me! Matte+Poreless Liquid Foundation - Natural Beige 220 30ml-Warm Nude 128.jpg,Warm Nude 128,"[[250.0, 207.0, 175.0]]"
13,New York Fit Me! Matte+Poreless Liquid Foundation  Natural Beige 220 30ml,New York Fit Me! Matte+Poreless Liquid Foundation - Natural Beige 220 30ml-Natural Beige.jpg,Natural Beige,"[[252.41666666666669, 186.53947368421052, 149.12280701754386]]"
14,Paris True Match Liquid Foundation  N1 Ivory 30ml,Paris True Match Liquid Foundation - N1 Ivory 30ml-Rich Caramel.jpg,Rich Caramel,"[[229.0, 190.0, 152.0]]"
15,Paris True Match Liquid Foundation  N1 Ivory 30ml,Paris True Match Liquid Foundation - N1 Ivory 30ml-Golden Beige.jpg,Golden Beige,"[[232.0, 206.0, 183.0]]"
16,Paris True Match Liquid Foundation  N1 Ivory 30ml,Paris True Match Liquid Foundation - N1 Ivory 30ml-Creamy Beige N4.jpg,Creamy Beige N4,"[[216.0, 179.0, 159.99999999999994]]"
17,Paris True Match Liquid Foundation  N1 Ivory 30ml,Paris True Match Liquid Foundation - N1 Ivory 30ml-Ivory.jpg,Ivory,"[[243.0, 219.0, 187.0]]"
18,New York Fit Me Matte+Poreless Liquid Foundation  120 Classic Ivory 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 120 Classic Ivory 30ml-115 Ivory.jpg,115 Ivory,"[[249.0, 212.0, 190.0]]"
19,New York Fit Me Matte+Poreless Liquid Foundation  120 Classic Ivory 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 120 Classic Ivory 30ml-Classic Ivory.jpg,Classic Ivory,"[[252.0, 208.0, 178.0]]"
20,New York Fit Me Matte+Poreless Liquid Foundation  120 Classic Ivory 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 120 Classic Ivory 30ml-Natural Tan.jpg,Natural Tan,"[[245.0, 180.0, 152.0]]"
21,New York Fit Me Matte+Poreless Liquid Foundation  120 Classic Ivory 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 120 Classic Ivory 30ml-Warm Nude 128.jpg,Warm Nude 128,"[[250.0, 207.0, 175.0]]"
22,New York Fit Me Matte+Poreless Liquid Foundation  120 Classic Ivory 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 120 Classic Ivory 30ml-Natural Beige.jpg,Natural Beige,"[[252.41666666666669, 186.53947368421052, 149.12280701754386]]"
23,9 to 5 Weightless Mousse Foundation  Beige Vanilla 6g,9 to 5 Weightless Mousse Foundation - Beige Vanilla 6g-Beige Vanilla.jpg,Beige Vanilla,"[[227.8414414414416, 159.2612612612611, 89.61621621621629]]"
24,9 to 5 Weightless Mousse Foundation  Beige Vanilla 6g,9 to 5 Weightless Mousse Foundation - Beige Vanilla 6g-Rose Ivory.jpg,Rose Ivory,"[[223.78571428571428, 168.64285714285714, 148.64285714285714]]"
25,New York Fit Me! Matte+Poreless Liquid Foundation  115 Ivory 30ml,New York Fit Me! Matte+Poreless Liquid Foundation - 115 Ivory 30ml-115 Ivory.jpg,115 Ivory,"[[249.0, 212.0, 190.0]]"
26,New York Fit Me! Matte+Poreless Liquid Foundation  115 Ivory 30ml,New York Fit Me! Matte+Poreless Liquid Foundation - 115 Ivory 30ml-Classic Ivory.jpg,Classic Ivory,"[[252.0, 208.0, 178.0]]"
27,New York Fit Me! Matte+Poreless Liquid Foundation  115 Ivory 30ml,New York Fit Me! Matte+Poreless Liquid Foundation - 115 Ivory 30ml-Natural Tan.jpg,Natural Tan,"[[245.0, 180.0, 152.0]]"
28,New York Fit Me! Matte+Poreless Liquid Foundation  115 Ivory 30ml,New York Fit Me! Matte+Poreless Liquid Foundation - 115 Ivory 30ml-Warm Nude 128.jpg,Warm Nude 128,"[[250.0, 207.0, 175.0]]"
29,New York Fit Me! Matte+Poreless Liquid Foundation  115 Ivory 30ml,New York Fit Me! Matte+Poreless Liquid Foundation - 115 Ivory 30ml-Natural Beige.jpg,Natural Beige,"[[252.41666666666669, 186.53947368421052, 149.12280701754386]]"
30,Paris True Match Liquid Foundation  Golden Beige D3W3 30ml,Paris True Match Liquid Foundation - Golden Beige D3W3 30ml-Rich Caramel.jpg,Rich Caramel,"[[229.0, 190.0, 152.0]]"
31,Paris True Match Liquid Foundation  Golden Beige D3W3 30ml,Paris True Match Liquid Foundation - Golden Beige D3W3 30ml-Golden Beige.jpg,Golden Beige,"[[232.0, 206.0, 183.0]]"
32,Paris True Match Liquid Foundation  Golden Beige D3W3 30ml,Paris True Match Liquid Foundation - Golden Beige D3W3 30ml-Creamy Beige N4.jpg,Creamy Beige N4,"[[216.0, 179.0, 159.99999999999994]]"
33,Paris True Match Liquid Foundation  Golden Beige D3W3 30ml,Paris True Match Liquid Foundation - Golden Beige D3W3 30ml-Ivory.jpg,Ivory,"[[243.0, 219.0, 187.0]]"
34,Absolute Mattreal Skin Natural Mousse with SPF 8  Ivory Fair,Absolute Mattreal Skin Natural Mousse with SPF 8 - Ivory Fair-Golden Medium.jpg,Golden Medium,"[[225.0, 185.0, 126.0]]"
35,Absolute Mattreal Skin Natural Mousse with SPF 8  Ivory Fair,Absolute Mattreal Skin Natural Mousse with SPF 8 - Ivory Fair-Ivory Fair.jpg,Ivory Fair,"[[223.0, 179.0, 135.0]]"
36,New York Super Stay 24H Full Coverage Foundation  Natural Ivory 112 30ml,New York Super Stay 24H Full Coverage Foundation - Natural Ivory 112 30ml-Golden.jpg,Golden,"[[211.0, 157.0, 124.99999999999997]]"
37,New York Super Stay 24H Full Coverage Foundation  Natural Ivory 112 30ml,New York Super Stay 24H Full Coverage Foundation - Natural Ivory 112 30ml-Warm Nude 128.jpg,Warm Nude 128,"[[222.0, 155.0, 117.0]]"
38,New York Super Stay 24H Full Coverage Foundation  Natural Ivory 112 30ml,New York Super Stay 24H Full Coverage Foundation - Natural Ivory 112 30ml-Classic Ivory.jpg,Classic Ivory,"[[244.0, 198.0, 162.99999999999994]]"
39,New York Super Stay 24H Full Coverage Foundation  Natural Ivory 112 30ml,New York Super Stay 24H Full Coverage Foundation - Natural Ivory 112 30ml-Natural Beige.jpg,Natural Beige,"[[216.0, 162.0, 127.0]]"
40,New York Super Stay 24H Full Coverage Foundation  Natural Ivory 112 30ml,New York Super Stay 24H Full Coverage Foundation - Natural Ivory 112 30ml-Natural Ivory.jpg,Natural Ivory,"[[231.0, 191.99999999999994, 166.99999999999994]]"
41,New York Super Stay 24H Full Coverage Foundation  Natural Ivory 112 30ml,New York Super Stay 24H Full Coverage Foundation - Natural Ivory 112 30ml-Sun Beige.jpg,Sun Beige,"[[213.0, 170.0, 132.0]]"
42,Perfecting Liquid Foundation  Natural Pearl 27ml,Perfecting Liquid Foundation - Natural Pearl 27ml-Natural Coral.jpg,Natural Coral,"[[242.0, 197.0, 152.0]]"
43,Perfecting Liquid Foundation  Natural Pearl 27ml,Perfecting Liquid Foundation - Natural Pearl 27ml-Natural Shell.jpg,Natural Shell,"[[238.21708185053382, 185.28113879003558, 126.31672597864768]]"
44,Perfecting Liquid Foundation  Natural Pearl 27ml,Perfecting Liquid Foundation - Natural Pearl 27ml-Natural Marble.jpg,Natural Marble,"[[243.08839779005524, 202.4696132596685, 156.08839779005524]]"
45,Perfecting Liquid Foundation  Natural Pearl 27ml,Perfecting Liquid Foundation - Natural Pearl 27ml-Natural Pearl.jpg,Natural Pearl,"[[201.0, 148.0, 102.5]]"
46,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-Shell.jpg,Shell,"[[233.125, 190.3482142857143, 158.7075892857143]]"
47,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-Mustard.jpg,Mustard,"[[191.0, 130.0390625, 62.0390625]]"
48,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-1W2 Sand.jpg,1W2 Sand,"[[210.9569336778639, 172.0439276485788, 128.2101636520241]]"
49,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-3W1 Tawny.jpg,3W1 Tawny,"[[191.93548387096774, 146.16129032258064, 87.38416422287389]]"
50,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-Tawny.jpg,Tawny,"[[191.8263069139966, 142.81112984822934, 87.0]]"
51,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-Cinnamon.jpg,Cinnamon,"[[168.0571679859279, 111.2198768689534, 61.139841688654364]]"
52,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-Buff.jpg,Buff,"[[246.52173913043478, 208.2826086956522, 168.69565217391303]]"
53,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-Honey Bronze.jpg,Honey Bronze,"[[175.77742616033754, 120.41244725738399, 56.68881856540082]]"
54,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-3W2 Cashew.jpg,3W2 Cashew,"[[210.09600000000003, 157.23400000000004, 77.75900000000001]]"
55,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-2W2 Rattan.jpg,2W2 Rattan,"[[206.37605804111246, 163.42321644498188, 99.0012091898428]]"
56,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-Rattan.jpg,Rattan,"[[187.0, 143.0, 77.0]]"
57,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-Warm Porcelain.jpg,Warm Porcelain,"[[246.74059405940596, 212.7267326732673, 172.90693069306937]]"
58,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-Porcelain.jpg,Porcelain,"[[227.89430894308944, 184.57607433217188, 151.29616724738676]]"
59,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-Sand.jpg,Sand,"[[201.06172839506172, 146.06172839506172, 74.32098765432097]]"
60,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-Spiced Sand.jpg,Spiced Sand,"[[169.869918699187, 115.22357723577237, 42.53252032520326]]"
61,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-Ivory Nude.jpg,Ivory Nude,"[[212.79661016949152, 168.0, 117.30508474576271]]"
62,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-Alabaster.jpg,Alabaster,"[[248.35032679738563, 215.2313725490196, 184.62091503267973]]"
63,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-Bone.jpg,Bone,"[[188.62203023758101, 138.91360691144712, 80.62850971922248]]"
64,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-Ivory Beige.jpg,Ivory Beige,"[[168.24545454545455, 125.24545454545455, 77.24545454545455]]"
65,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-Toasty Toffee.jpg,Toasty Toffee,"[[139.66233766233768, 94.16233766233768, 31.448051948051955]]"
66,Double Wear StayIn,Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml-NA.jpg,,"[[222.88888888888889, 176.88888888888889, 117.44444444444444]]"
67,New York Super Stay 24H Full Coverage Foundation  Classic Ivory 120 30ml,New York Super Stay 24H Full Coverage Foundation - Classic Ivory 120 30ml-Golden.jpg,Golden,"[[211.0, 157.0, 124.99999999999997]]"
68,New York Super Stay 24H Full Coverage Foundation  Classic Ivory 120 30ml,New York Super Stay 24H Full Coverage Foundation - Classic Ivory 120 30ml-Warm Nude 128.jpg,Warm Nude 128,"[[222.0, 155.0, 117.0]]"
69,New York Super Stay 24H Full Coverage Foundation  Classic Ivory 120 30ml,New York Super Stay 24H Full Coverage Foundation - Classic Ivory 120 30ml-Classic Ivory.jpg,Classic Ivory,"[[244.0, 198.0, 162.99999999999994]]"
70,New York Super Stay 24H Full Coverage Foundation  Classic Ivory 120 30ml,New York Super Stay 24H Full Coverage Foundation - Classic Ivory 120 30ml-Natural Beige.jpg,Natural Beige,"[[216.0, 162.0, 127.0]]"
71,New York Super Stay 24H Full Coverage Foundation  Classic Ivory 120 30ml,New York Super Stay 24H Full Coverage Foundation - Classic Ivory 120 30ml-Natural Ivory.jpg,Natural Ivory,"[[231.0, 191.99999999999994, 166.99999999999994]]"
72,New York Super Stay 24H Full Coverage Foundation  Classic Ivory 120 30ml,New York Super Stay 24H Full Coverage Foundation - Classic Ivory 120 30ml-Sun Beige.jpg,Sun Beige,"[[213.0, 170.0, 132.0]]"
74,Weightless Matte Finish Mini Foundation Beige 03 18mlBeige.jpg,Weightless Matte Finish Mini Foundation Beige 03 18ml-Beige.jpg,Beige,"[[212.88053758088603, 175.0408163265306, 131.47187655550024]]"
75,Absolute Mattreal Skin Natural Mousse  Golden Medium 25g,Absolute Mattreal Skin Natural Mousse - Golden Medium 25g-Golden Medium.jpg,Golden Medium,"[[225.0, 185.0, 126.0]]"
76,Absolute Mattreal Skin Natural Mousse  Golden Medium 25g,Absolute Mattreal Skin Natural Mousse - Golden Medium 25g-Ivory Fair.jpg,Ivory Fair,"[[223.0, 179.0, 135.0]]"
77,New York Fit Me Matte+Poreless Liquid Foundation  310 Sun Beige 18ml,New York Fit Me Matte+Poreless Liquid Foundation - 310 Sun Beige 18ml-Toffee.jpg,Toffee,"[[214.0, 148.0, 97.0]]"
78,New York Fit Me Matte+Poreless Liquid Foundation  310 Sun Beige 18ml,New York Fit Me Matte+Poreless Liquid Foundation - 310 Sun Beige 18ml-Sun Beige.jpg,Sun Beige,"[[218.05919003115267, 160.87694704049844, 127.9735202492212]]"
79,New York Super Stay 24H Full Coverage Foundation  Warm Nude 128 30ml,New York Super Stay 24H Full Coverage Foundation - Warm Nude 128 30ml-Golden.jpg,Golden,"[[211.0, 157.0, 124.99999999999997]]"
80,New York Super Stay 24H Full Coverage Foundation  Warm Nude 128 30ml,New York Super Stay 24H Full Coverage Foundation - Warm Nude 128 30ml-Warm Nude 128.jpg,Warm Nude 128,"[[222.0, 155.0, 117.0]]"
81,New York Super Stay 24H Full Coverage Foundation  Warm Nude 128 30ml,New York Super Stay 24H Full Coverage Foundation - Warm Nude 128 30ml-Classic Ivory.jpg,Classic Ivory,"[[244.0, 198.0, 162.99999999999994]]"
82,New York Super Stay 24H Full Coverage Foundation  Warm Nude 128 30ml,New York Super Stay 24H Full Coverage Foundation - Warm Nude 128 30ml-Natural Beige.jpg,Natural Beige,"[[216.0, 162.0, 127.0]]"
83,New York Super Stay 24H Full Coverage Foundation  Warm Nude 128 30ml,New York Super Stay 24H Full Coverage Foundation - Warm Nude 128 30ml-Natural Ivory.jpg,Natural Ivory,"[[231.0, 191.99999999999994, 166.99999999999994]]"
84,New York Super Stay 24H Full Coverage Foundation  Warm Nude 128 30ml,New York Super Stay 24H Full Coverage Foundation - Warm Nude 128 30ml-Sun Beige.jpg,Sun Beige,"[[213.0, 170.0, 132.0]]"
85,Paris Infallible 24H Fresh Wear Foundation  Golden Beige 140 30ml,Paris Infallible 24H Fresh Wear Foundation - Golden Beige 140 30ml-Golden Sun 260.jpg,Golden Sun 260,"[[198.0, 156.99999999999994, 127.0]]"
86,Paris Infallible 24H Fresh Wear Foundation  Golden Beige 140 30ml,Paris Infallible 24H Fresh Wear Foundation - Golden Beige 140 30ml-Radiant Sand.jpg,Radiant Sand,"[[218.0, 183.0, 153.0]]"
87,Paris Infallible 24H Fresh Wear Foundation  Golden Beige 140 30ml,Paris Infallible 24H Fresh Wear Foundation - Golden Beige 140 30ml-300 Amber.jpg,300 Amber,"[[198.0, 157.0, 125.0]]"
90,9 to 5 01 Rose Ivory Weightless Mousse FoundationBeige Vanilla.jpg,9 to 5 01 Rose Ivory Weightless Mousse Foundation-Beige Vanilla.jpg,Beige Vanilla,"[[227.8414414414416, 159.2612612612611, 89.61621621621629]]"
91,9 to 5 01 Rose Ivory Weightless Mousse FoundationRose Ivory.jpg,9 to 5 01 Rose Ivory Weightless Mousse Foundation-Rose Ivory.jpg,Rose Ivory,"[[223.78571428571428, 168.64285714285714, 148.64285714285714]]"
92,New York Super Stay 24H Full Coverage Foundation  Sun Beige 310 30ml,New York Super Stay 24H Full Coverage Foundation - Sun Beige 310 30ml-Golden.jpg,Golden,"[[211.0, 157.0, 124.99999999999997]]"
93,New York Super Stay 24H Full Coverage Foundation  Sun Beige 310 30ml,New York Super Stay 24H Full Coverage Foundation - Sun Beige 310 30ml-Warm Nude 128.jpg,Warm Nude 128,"[[222.0, 155.0, 117.0]]"
94,New York Super Stay 24H Full Coverage Foundation  Sun Beige 310 30ml,New York Super Stay 24H Full Coverage Foundation - Sun Beige 310 30ml-Classic Ivory.jpg,Classic Ivory,"[[244.0, 198.0, 162.99999999999994]]"
95,New York Super Stay 24H Full Coverage Foundation  Sun Beige 310 30ml,New York Super Stay 24H Full Coverage Foundation - Sun Beige 310 30ml-Natural Beige.jpg,Natural Beige,"[[216.0, 162.0, 127.0]]"
96,New York Super Stay 24H Full Coverage Foundation  Sun Beige 310 30ml,New York Super Stay 24H Full Coverage Foundation - Sun Beige 310 30ml-Natural Ivory.jpg,Natural Ivory,"[[231.0, 191.99999999999994, 166.99999999999994]]"
97,New York Super Stay 24H Full Coverage Foundation  Sun Beige 310 30ml,New York Super Stay 24H Full Coverage Foundation - Sun Beige 310 30ml-Sun Beige.jpg,Sun Beige,"[[213.0, 170.0, 132.0]]"
103,New York Fit Me Matte + Poreless Liquid Foundation Tube  Toffee 330 18ml,New York Fit Me Matte + Poreless Liquid Foundation Tube - Toffee 330 18ml-Toffee.jpg,Toffee,"[[214.0, 148.0, 97.0]]"
104,New York Fit Me Matte + Poreless Liquid Foundation Tube  Toffee 330 18ml,New York Fit Me Matte + Poreless Liquid Foundation Tube - Toffee 330 18ml-Sun Beige.jpg,Sun Beige,"[[218.05919003115267, 160.87694704049844, 127.9735202492212]]"
105,Ultime Pro Second Skin Foundation Ivory 01 30mlNatural.jpg,Ultime Pro Second Skin Foundation Ivory 01 30ml-Natural.jpg,Natural,"[[206.82049245432884, 160.0238284352661, 137.7164416203336]]"
106,Ultime Pro Second Skin Foundation Ivory 01 30mlBeige.jpg,Ultime Pro Second Skin Foundation Ivory 01 30ml-Beige.jpg,Beige,"[[201.18421052631578, 149.46240601503757, 127.53082706766915]]"
107,Ultime Pro Second Skin Foundation Ivory 01 30mlIvory.jpg,Ultime Pro Second Skin Foundation Ivory 01 30ml-Ivory.jpg,Ivory,"[[214.50632911392407, 176.7088607594937, 163.35443037974684]]"
108,Perfecting Natural Coral Liquid FoundationNatural Coral.jpg,Perfecting Natural Coral Liquid Foundation-Natural Coral.jpg,Natural Coral,"[[242.0, 197.0, 152.0]]"
109,Perfecting Natural Coral Liquid FoundationNatural Shell.jpg,Perfecting Natural Coral Liquid Foundation-Natural Shell.jpg,Natural Shell,"[[238.21708185053382, 185.28113879003558, 126.31672597864768]]"
110,Perfecting Natural Coral Liquid FoundationNatural Marble.jpg,Perfecting Natural Coral Liquid Foundation-Natural Marble.jpg,Natural Marble,"[[243.08839779005524, 202.4696132596685, 156.08839779005524]]"
111,Perfecting Natural Coral Liquid FoundationNatural Pearl.jpg,Perfecting Natural Coral Liquid Foundation-Natural Pearl.jpg,Natural Pearl,"[[201.0, 148.0, 102.5]]"
112,New York Super Stay 24H Full Coverage Liquid Foundation  Natural Beige 220,New York Super Stay 24H Full Coverage Liquid Foundation - Natural Beige 220-Golden.jpg,Golden,"[[211.0, 157.0, 124.99999999999997]]"
113,New York Super Stay 24H Full Coverage Liquid Foundation  Natural Beige 220,New York Super Stay 24H Full Coverage Liquid Foundation - Natural Beige 220-Warm Nude 128.jpg,Warm Nude 128,"[[222.0, 155.0, 117.0]]"
114,New York Super Stay 24H Full Coverage Liquid Foundation  Natural Beige 220,New York Super Stay 24H Full Coverage Liquid Foundation - Natural Beige 220-Classic Ivory.jpg,Classic Ivory,"[[244.0, 198.0, 162.99999999999994]]"
115,New York Super Stay 24H Full Coverage Liquid Foundation  Natural Beige 220,New York Super Stay 24H Full Coverage Liquid Foundation - Natural Beige 220-Natural Beige.jpg,Natural Beige,"[[216.0, 162.0, 127.0]]"
116,New York Super Stay 24H Full Coverage Liquid Foundation  Natural Beige 220,New York Super Stay 24H Full Coverage Liquid Foundation - Natural Beige 220-Natural Ivory.jpg,Natural Ivory,"[[231.0, 191.99999999999994, 166.99999999999994]]"
117,New York Super Stay 24H Full Coverage Liquid Foundation  Natural Beige 220,New York Super Stay 24H Full Coverage Liquid Foundation - Natural Beige 220-Sun Beige.jpg,Sun Beige,"[[213.0, 170.0, 132.0]]"
118,New York Fit Me Two Way Cake Powder Foundation with SPF 32  Warm Nude 128,New York Fit Me Two Way Cake Powder Foundation with SPF 32 - Warm Nude 128-Sun Beige.jpg,Sun Beige,"[[224.69387755102042, 173.79591836734693, 123.75510204081633]]"
119,New York Fit Me Two Way Cake Powder Foundation with SPF 32  Warm Nude 128,New York Fit Me Two Way Cake Powder Foundation with SPF 32 - Warm Nude 128-Warm Nude 128.jpg,Warm Nude 128,"[[235.0, 192.0, 137.0]]"
120,New York Super Stay 24H Full Coverage Liquid Foundation  Golden 312,New York Super Stay 24H Full Coverage Liquid Foundation - Golden 312-Golden.jpg,Golden,"[[211.0, 157.0, 124.99999999999997]]"
121,New York Super Stay 24H Full Coverage Liquid Foundation  Golden 312,New York Super Stay 24H Full Coverage Liquid Foundation - Golden 312-Warm Nude 128.jpg,Warm Nude 128,"[[222.0, 155.0, 117.0]]"
122,New York Super Stay 24H Full Coverage Liquid Foundation  Golden 312,New York Super Stay 24H Full Coverage Liquid Foundation - Golden 312-Classic Ivory.jpg,Classic Ivory,"[[244.0, 198.0, 162.99999999999994]]"
123,New York Super Stay 24H Full Coverage Liquid Foundation  Golden 312,New York Super Stay 24H Full Coverage Liquid Foundation - Golden 312-Natural Beige.jpg,Natural Beige,"[[216.0, 162.0, 127.0]]"
124,New York Super Stay 24H Full Coverage Liquid Foundation  Golden 312,New York Super Stay 24H Full Coverage Liquid Foundation - Golden 312-Natural Ivory.jpg,Natural Ivory,"[[231.0, 191.99999999999994, 166.99999999999994]]"
125,New York Super Stay 24H Full Coverage Liquid Foundation  Golden 312,New York Super Stay 24H Full Coverage Liquid Foundation - Golden 312-Sun Beige.jpg,Sun Beige,"[[213.0, 170.0, 132.0]]"
126,Perfecting Natural Shell Liquid FoundationNatural Coral.jpg,Perfecting Natural Shell Liquid Foundation-Natural Coral.jpg,Natural Coral,"[[242.0, 197.0, 152.0]]"
127,Perfecting Natural Shell Liquid FoundationNatural Shell.jpg,Perfecting Natural Shell Liquid Foundation-Natural Shell.jpg,Natural Shell,"[[238.21708185053382, 185.28113879003558, 126.31672597864768]]"
128,Perfecting Natural Shell Liquid FoundationNatural Marble.jpg,Perfecting Natural Shell Liquid Foundation-Natural Marble.jpg,Natural Marble,"[[243.08839779005524, 202.4696132596685, 156.08839779005524]]"
129,Perfecting Natural Shell Liquid FoundationNatural Pearl.jpg,Perfecting Natural Shell Liquid Foundation-Natural Pearl.jpg,Natural Pearl,"[[201.0, 148.0, 102.5]]"
130,Invisible Finish SPF 8 Foundation  01 25ml,Invisible Finish SPF 8 Foundation - 01 25ml-01.jpg,01,"[[226.0, 196.0, 157.0]]"
131,Invisible Finish SPF 8 Foundation  01 25ml,Invisible Finish SPF 8 Foundation - 01 25ml-05.jpg,05,"[[241.79695431472086, 205.40609137055822, 176.4638324873098]]"
132,Invisible Finish SPF 8 Foundation  01 25ml,Invisible Finish SPF 8 Foundation - 01 25ml-4.jpg,4,"[[213.483, 159.32799999999997, 123.66400000000002]]"
133,Invisible Finish SPF 8 Foundation  01 25ml,Invisible Finish SPF 8 Foundation - 01 25ml-02.jpg,02,"[[236.25319693094627, 209.6214833759591, 160.9335038363172]]"
134,Soft Touch Mousse MakeUp ,Soft Touch Mousse Make-Up - 04-4.jpg,4,"[[220.0, 182.0, 163.0]]"
135,Soft Touch Mousse MakeUp ,Soft Touch Mousse Make-Up - 04-02 Matt Beige.jpg,02 Matt Beige,"[[207.06508875739644, 161.4792899408284, 138.1715976331361]]"
136,New York Fit Me Matte + Poreless Liquid Foundation  Natural Tan 320 30ml,New York Fit Me Matte + Poreless Liquid Foundation - Natural Tan 320 30ml-115 Ivory.jpg,115 Ivory,"[[249.0, 212.0, 190.0]]"
137,New York Fit Me Matte + Poreless Liquid Foundation  Natural Tan 320 30ml,New York Fit Me Matte + Poreless Liquid Foundation - Natural Tan 320 30ml-Classic Ivory.jpg,Classic Ivory,"[[252.0, 208.0, 178.0]]"
